"Date","C.N","delta15n","delta13c","POC_ug.L","PN_ug.L","chl_20um","chl_GF.F","chl_3um","phaeo.chla","NO3","PO4","Si","SST","SSS","log10.N2","Rain2Day","WindSp2Day","WindDir2Day","Bacillariophyta","Chlorophyta","Ciliophora","Cryptophyta","Dinoflagellata"
2017-10-31,5.03415951060555,7.1548778855,-26.99854137,111.0533814,20.3165754925,0.075420987,0.7215309605,0.222326282,0.740683261425294,17.868014595,1.709882947,42.074097015,10.3358,27.96795,-3.22272058204062,0.2,0.685270833333333,229.812666666667,12340,10500,2240,35000,1990
2017-11-08,6.19378610692678,6.71622338,-26.50143472,131.174849875,20.18944215,0.307178041,0.455202091,0.3165841595,0.740721913809526,20.396755005,1.9897949665,46.00728085,8.9272,28.60155,-3.69978969554903,0,3.00629166666667,179.862708333333,31200,46750,7520,193750,1240
2017-11-16,NA,NA,-26.2344452,52.176684,NA,0.193044906,0.132320478,0.115723241,1.79315280579502,22.59991906,2.07,48.671645895,9.11575,28.877,-4.01394127204956,58,2.49045833333333,177.90625,19740,31500,1320,119000,2030
2017-11-20,NA,NA,-27.36417025,81.1921592,NA,0.112892723,0.0695943485,0.11393484,1.75032024863595,23.362978805,2.088435245,44.003459855,8.98185,28.61175,-4.20818821226319,60.4,3.14627083333333,164.421916666667,16560,29750,3400,82250,360
2017-11-27,NA,NA,-26.03551717,61.3457993,NA,0.063191049,0.1425355845,0.078243466,1.48255766455117,24.367656375,2.157242924,45.285841585,8.9457,28.5779,-4.44251986391451,23,2.42277083333333,194.78125,5260,17500,3120,118500,240
2017-12-06,NA,NA,-26.69748574,71.969014575,NA,0.0738531215,0.227745613,0.1467785475,1.12797118907806,25.193595515,2.166661603,46.427777985,8.12885,27.71975,-3.61195567676944,0,0.649604166666667,268.915416666667,1120,43750,4760,78750,40
2017-12-11,5.51435014918107,8.490113481,-26.897413155,68.8688602,10.5108117,0.048366135,0.3291348525,0.144859916,1.15669550305431,25.15641213,2.1779995975,47.429195025,7.51755,27.51545,-3.43742045717363,0,0.669791666666667,232.680833333333,3980,10500,2280,194250,80
2018-01-03,6.01617888958494,8.060657487,-27.351835685,77.693775525,12.821637835,0.070518293,0.224826666,0.0591217275,1.09638370446571,26.873,2.289,50.335,7.1904,28.47835,-3.65826047958948,3.4,0.327979166666667,280.55,4700,40250,5040,98000,3120
2018-01-09,6.37263967735028,8.508739811,-27.197325915,80.3741072552632,10.6923705755263,0.0603883995,0.1586754045,0.140937707,1.33335314852537,27.7595,2.389,51.4635,7.16625,28.50925,-3.95553568182876,29.2,3.24977083333333,154.401666666667,25000,33250,840,61250,3540
2018-01-22,NA,NA,-26.13889081,77.7759878421053,NA,0.097372707,0.110240938,0.131236022,1.68148955898193,27.293193645,2.41337794,54.059663895,8.0049,29.0064,-4.37276532920401,69,3.87760416666667,169.302083333333,10140,53750,920,162750,3080
2018-01-31,7.14093930500152,6.8920111365,-26.843047735,123.06581465,13.718056205,0.167110685,0.294576435,0.1430613325,0.682532531422282,27.40870629,2.349888866,51.93830988,7.54525,28.3093,-4.04357397369859,0.599999999999998,1.4343125,232.233333333333,23140,61250,4520,183750,1830
2018-02-06,6.14060154419385,7.8501473425,-28.07699675,114.5235359,15.795188245,0.0456958605,0.4555702755,0.1953515515,0.906965781111084,27.229867055,2.3660708155,50.22791945,7.501,28.1942,-3.80375835207564,15,0.440270833333333,218.767291666667,320,105003,1160,688353,80
2018-02-13,5.83166690242013,8.03110829,-28.444602235,76.7057011,12.018340305,0.071461263,0.366187491,0.116213618,1.11782337866542,26.847850395,2.342848024,55.113514555,7.5746,28.3907,-3.64793876792089,0,1.73525,281.170833333333,4240,32500,2440,187500,2540
2018-02-19,5.82851138962494,7.176275077,-28.279208375,81.544324275,13.8476506875,0.10158539,0.3148405095,0.24392134,1.06960626369846,26.93628758,2.34923203,53.536086045,7.2457,28.5282,-3.90281427783821,26.6,4.43679166666667,294.898125,2560,44333,5360,328953,120
2018-02-27,5.78485768170052,5.4041453875,-27.657699465,105.417807957051,16.8278613333974,0.187170034,0.261961838,0.141542773,1.2264610192729,25.616472725,2.17923123,50.13342976,6.7597,28.1259,-3.92026108629709,4.4,1.1320625,229.779583333333,55706,43750,2360,96250,680
